Academic Item,Title,Version Number,Status,Owning Faculty,Academic Org,Display Name,Teaching Period,Attendance Mode,Location,Quota Number
COGS1000,Introduction to Neuroscience 1,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
STAT8125,Statistics Project,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
AFIN8008,Corporate Finance,2023.04,Approved,Macquarie Business School,Department of Applied Finance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MATH6904,Mathematical Modelling,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
POIR8430,The Middle East in Global Politics,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,
FOSX1025,Scientific Computing,2023.03,Approved,Faculty of Science and Engineering,Owned at Faculty level,Session 2-ONL-FLX,Session 2,Online-flexible,,
MATH7901,Analysis,2023.02,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
FOAR7000,Research Paradigms,2023.01R,Approved,Faculty of Arts,Owned at Faculty level,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
ACCG3001,Organisational Planning and Control,2023.05,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYO8954,Supervised Practical Placement IV,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Full year 1-F2F-PLACE-On location,Full year 1,In person-placement,On location,
PICT3015,Security Policy Analysis: Current and Emerging Issues,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 2-ONL-FLX,Session 2,Online-flexible,,
MEDI8204,Reflective Medical Practice 1,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Medicine and Health Sciences MDB-F2F-DAY-North Ryde,Medicine and Health Sciences MDB,In person-scheduled-weekday,North Ryde,
COGS3999,PACE: Cognitive Science in the Real World,2023.04,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ENGG4093,Engineering Research Thesis Extension B,2023.02,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ENGX1021,An Introduction to Creative Writing,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
AHIX1200,Myth in the Ancient World,2023.03,Approved,Faculty of Arts,Department of History and Archaeology,Session 2-ONL-FLX,Session 2,Online-flexible,,
MECH2001,Engineering Dynamics,2023.01R,Approved,Faculty of Science and Engineering,School of Engineering,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
EDST8650,Design of Technology-Enhanced Learning,2023.02,Approved,Faculty of Arts,Macquarie School of Education,Session 2-ONL-S-DAY,Session 2,Online-scheduled-weekday,,
MMCC3012,Screen Production: Documentary Filmmaking,2023.03,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
COMP7860,Computing Methods for Research,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
STAT7310,Statistical Theory,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MATH2010,Calculus and Linear Algebra III,2023.02,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
COMP8860,Industry Based Internship B,2023.03,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
LING3300,Linguistic Theory and Practice,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
EDUC8230,Accessible Approaches to Arts Education,2023.02,Approved,Faculty of Arts,Macquarie School of Education,Session 2-ONL-FLX,Session 2,Online-flexible,,
PHTY8202,Clinical Physiotherapy Placement III,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
MEDI3301,Clinical Neuroscience,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
GEOP6040,Cities of the Global South,2023.03,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
WECO1020,Principles of Economics 1,2023.03,Approved,Macquarie University College,Macquarie University College,MQUC Term 1-F2F-DAY-North Ryde,MQUC Term 1,In person-scheduled-weekday,North Ryde,
BIOL6210,Life Processes,2023.03,Approved,Faculty of Science and Engineering,School of Natural Sciences,To be determined,To be determined,,,
HSYP8211,Professional Practice,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
ABSX3025,Indigenous Research Methodologies,2023.03,Approved,Faculty of Arts,Department of Indigenous Studies ,Session 2-ONL-FLX,Session 2,Online-flexible,,
ACCG8077,Forensic Accountants and the Courts,2023.01,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,To be determined,To be determined,,,
PICT8014,The Intelligence Community in Australia,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 1-ONL-FLX,Session 1,Online-flexible,,
HSYP8106,"Innovation in Leadership, Teamwork and Advocacy",2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 2-ONL-S-DAY,Session 2,Online-scheduled-weekday,,
MPRO8032,Risk Management Principles,2023.01R,Approved,Macquarie Business School,Department of Applied Finance ,To be determined-Online,To be determined,Fully online/virtual,,
GEOP7000,Dialogues in Geography and Planning,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
BMOL3201,Advanced Biochemistry and Cell Biology,2023.03,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
COMP2300,Applied Cryptography,2023.02,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYN8904,Clinical Neuropsychology Practical Placement IV,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
PSYU2248,Design and Statistics II,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
EDST3020,Practice of Teaching: Outdoor Learning Environments,2023.02,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
ENGL3040,Following Poetry from Epic to Instagram,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
