Academic Item,Title,Version Number,Status,Owning Faculty,Academic Org,Display Name,Teaching Period,Attendance Mode,Location,Quota Number
ACCG3050,Financial Statement Analysis,2023.03,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
POIR3970,Global Environmental Politics,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,
COMP8770,Information Systems Project and Risk Management,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MGMT2040,Workplace Relations,2023.01,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ESPS2200,Professional Practice in Exercise Science I,2023.04,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ECHE1300,Health and Wellbeing,2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
INDG7001,Research Ethics in Indigenous Australian Contexts,2023.02,Approved,Faculty of Arts,Department of Indigenous Studies ,Session 2-ONL-FLX,Session 2,Online-flexible,,
CHIN2220,C Chinese Studies 6,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-ONL-FLX,Session 2,Online-flexible,,
SPHL7717,Phonetic Theory and Transcription,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
AFIN8005,Research Methods in Banking and Finance,2023.04,Approved,Macquarie Business School,Department of Applied Finance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYC8959,Supervised Practical Placement IV,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Full year 1-F2F-PLACE-On location,Full year 1,In person-placement,On location,
ENVS8527,Engaging Society with Sustainable Development,2023.01R,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MGMT1007,Introduction to Human Resource Management,2023.03,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
AFIN8037,Capital Markets,2023.03,Approved,Macquarie Business School,Department of Applied Finance ,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MGMT3060,PACE: Business Project,2023.04,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PICT3001,Transnational Crime,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 2-ONL-FLX,Session 2,Online-flexible,,
POIX3890,Australia and the Asia-Pacific Century,2023.02,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,
EDST8300,Learner Development: Advances in Research and Practice,2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
COMP6410,"Knowledge, Planning and Decision Making under Uncertainty ",2023.04,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
BUSA7090,Data and Visualisation for Business,2023.01,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
FOAR7005,Research Theme 1: Living in the Anthropocene,2023.01R,Approved,Faculty of Arts,Owned at Faculty level,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
MGRK1010,I Modern Greek Studies 1,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
HLTH3140,"Radiographic Physics, Practice and Protection",2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Chiropractic,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MEDI3401,PACE: Professional Learning in the Clinical Sciences,2023.05,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
EDST8222,Teaching English in the Secondary School 1,2023.03,Approved,Faculty of Arts,Macquarie School of Education,Session 2-F2F-INF-North Ryde,Session 2,In person-scheduled-infrequent,North Ryde,
ANTX3008,Psychological Anthropology,2023.02,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-ONL-FLX,Session 1,Online-flexible,,
ELEC4093,Electrical and Electronic Engineering Research Thesis B,2023.02,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PICT1012,Strategy and Security in the Indo-Pacific,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 2-ONL-FLX,Session 2,Online-flexible,,
COMP8293,IoT Communication Networks and Security ,2023.02,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
BUSO8030,"Management of Data, Analytics and Change",2023.02,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Term 3-ONL-S-DAY,Term 3,Online-scheduled-weekday,,
ACST8084,Survival Models,2023.03,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
EDUC8250,"Effective Instruction in Mathematics, Science and Technology",2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 1-ONL-FLX,Session 1,Online-flexible,,
PICT1030,Introduction to Criminology,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 1-ONL-FLX,Session 1,Online-flexible,,
PHYS7909,Quantum Control,2023.03,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
STAT8830,Statistical Methods in Bioinformatics,2023.02,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
WMGM1005,Introduction to Global Business ,2023.03,Approved,Macquarie University College,Macquarie University College,MQUC Term 1-F2F-DAY-North Ryde,MQUC Term 1,In person-scheduled-weekday,North Ryde,
AAOP8990,Master of Research - Astrophysics and Astronomical and Space Instrumentation,2023.01,Approved,Faculty of Science and Engineering,Owned at Faculty level,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ACCG8127,Current Issues in Accounting and Corporate Governance,2023.03,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
POIX1010,Australian Politics in Global Context,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-ONL-FLX,Session 1,Online-flexible,,
PSYO8940,Psychological Assessment and Evaluation,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
AFCP8148,Specialised Topics in Applied Finance,2023.01R,Approved,Macquarie Business School,Department of Applied Finance ,To be determined,To be determined,,,
PSYH4499,The Scientist Practitioner Model,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MGMT3000,The Art of Negotiation,2023.01,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PHTY2000,Behaviour Change for Health and Exercise,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
AFCP8141,Sustainable Finance,2023.04,Approved,Macquarie Business School,Department of Applied Finance ,Term 2-F2F-INF-City,Term 2,In person-scheduled-infrequent,City,
MKTG2017,Qualitative Insights,2023.03,Approved,Macquarie Business School,Department of Marketing ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
NSCI7920,Advanced Literature Project,2023.02,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-INF-North Ryde,Session 2,In person-scheduled-infrequent,North Ryde,
MGRK2210,C Modern Greek Studies 5,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
AHIS6201,Ancient Historiographical and Historical Studies: Foundation,2023.03,Approved,Faculty of Arts,Department of History and Archaeology,Session 1-ONL-FLX,Session 1,Online-flexible,,
COMP3760,Enterprise Systems Integration,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
COMP8270,Network System Architecture and Cloud Technologies,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
EDST2140,STEAM Integration in the Early Years,2023.03,Approved,Faculty of Arts,Macquarie School of Education,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
COMP4050,Software Engineering Practices,2023.04,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PICT3020,PACE: Ethical Practice in Security Studies,2023.04,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ECHX8250,Early Childhood Professional Practice 2,2023.03,Approved,Faculty of Arts,Macquarie School of Education,Session 1-ONL-FLX,Session 1,Online-flexible,,
CIVL3305,Structural Design 2,2023.04,Approved,Faculty of Science and Engineering,School of Engineering,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ENGL2036,Writing Popular Genre Fiction,2023.03,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
HSCI8991,Master of Research - Health Systems and Populations,2023.01,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MHIS2020,Twentieth-Century Europe,2023.01R,Approved,Faculty of Arts,Department of History and Archaeology,Session 1-ONL-FLX,Session 1,Online-flexible,,
ANTH3021,"Globalisation, Conflict, and Religion",2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CHIN1010,I Chinese Studies 1,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
ACST8040,Quantitative Research Methods,2023.01,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
RUSS1210,C Russian Studies 3,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
ENGG4099,PACE: Industry Experience,2023.05,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
ECON6034,Econometrics and Business Statistics,2023.05,Approved,Macquarie Business School,Department of Economics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
FOAR7006,"Research Theme 2: Feminism, Queer Theory and the Problem of Identity",2023.01R,Approved,Faculty of Arts,Owned at Faculty level,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
PHYS1510,Engineering Physics,2023.04,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
INTS3013,International Studies Advanced In-Country Study 2,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
ANTH3002,The Anthropology of Politics and Power,2023.03,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,
BIOL3210,Advanced Human Physiology,2023.01R,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
MKTO8004,Digital Marketing Strategy,2023.02,Approved,Macquarie Business School,Department of Marketing ,Term 3-ONL-S-DAY,Term 3,Online-scheduled-weekday,,
ECHE8270,"Learning Through Mathematics, Science and Technology in Early Childhood Settings",2023.02,Approved,Faculty of Arts,Macquarie School of Education,Session 2-F2F-INF-North Ryde,Session 2,In person-scheduled-infrequent,North Ryde,
FOSE1025,Scientific Computing,2023.03,Approved,Faculty of Science and Engineering,Owned at Faculty level,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
RUSS3020,I Russian Studies 6,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-ONL-FLX,Session 2,Online-flexible,,
CAUD8008,Clinical Practicum II,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PHIL2026,The Ethics and Moral Psychology of Good and Evil,2023.02,Approved,Faculty of Arts,Department of Philosophy ,Session 1-ONL-FLX,Session 1,Online-flexible,,
ECON7035,Applied Econometrics,2023.05,Approved,Macquarie Business School,Department of Economics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
COMP6120,Advanced Web Development,2023.02,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MHIS3030,Screening the Past: History on Film and Television,2023.01R,Approved,Faculty of Arts,Department of History and Archaeology,Session 2-ONL-FLX,Session 2,Online-flexible,,
COMP3260,Cisco Networking I,2023.02,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CHIR8101,Clinical Chiropractic 1,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Chiropractic,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ANTH3008,Psychological Anthropology,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-ONL-FLX,Session 1,Online-flexible,,
EDUC8240,Effective Instruction in Reading and Writing ,2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 2-ONL-FLX,Session 2,Online-flexible,,
PSYO8939,Team Factors in the Workplace,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MEDI2900,Introduction to Medical Research,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 3-F2F-DAY-North Ryde,Session 3,In person-scheduled-weekday,North Ryde,
PICX1014,International Security in the 20th Century,2023.01R,Approved,Faculty of Arts,Department of Security Studies and Criminology ,Session 2-ONL-FLX,Session 2,Online-flexible,,
SPHL3308,Speech Production,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
GEOP8030,Smart Urbanism,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
TELE4081,Digital Communication Systems,2023.04,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MEDI2103,"Alimentary System, Nutrition and Metabolism",2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MMCC2057,Vocal Studies: The Voice,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
CROA1220,C Croatian Studies 4,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-ONL-FLX,Session 2,Online-flexible,,
MOLS7211,Protein Discovery and Analysis,2023.01R,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
COMP3780,Technology Management,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYS8991,Master of Research - Psychology,2023.01,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
FOAR7008,Research Theme 4: Globalising Cultures,2023.01,Approved,Faculty of Arts,Owned at Faculty level,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
PHIL7000,Research Topics in Philosophy I,2023.01R,Approved,Faculty of Arts,Department of Philosophy ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
APPL8200,Linguistics and Language Teaching,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-ONL-FLX,Session 1,Online-flexible,,
CHIR6303,Medical Sciences B,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Chiropractic,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ENGG8105,Quality and Reliability,2023.02,Approved,Faculty of Science and Engineering,School of Engineering,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
JPNS1010,I Japanese Studies 1,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-ONL-FLX,Session 1,Online-flexible,,
PSYC8934,Dissertation,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Full year 1-F2F-INF-North Ryde,Full year 1,In person-scheduled-infrequent,North Ryde,
AFCP8150,"Infrastructure, Property and Resources",2023.03,Approved,Macquarie Business School,Department of Applied Finance ,Term 4-F2F-INF-City,Term 4,In person-scheduled-infrequent,City,
PHYS8910,Engineering Quantum Matter,2023.01R,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PSYC8983,Clinical Psychology Practical Placement 3,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
INTS3000,International Studies Intercultural Program,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
ACST4009,Actuarial Honours Thesis B,2023.03,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
STAT6170,Introductory Statistics,2023.04,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
MMBA8075,Leadership Practice and Development,2023.04,Approved,Macquarie Business School,Department of Management ,Term 1-ONL-S-DAY,Term 1,Online-scheduled-weekday,,45
SSCI3010,Evaluation and Applied Social Science,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-ONL-FLX,Session 1,Online-flexible,,
EDST8000,Educational Research,2023.04,Approved,Faculty of Arts,Macquarie School of Education,Session 1-ONL-FLX,Session 1,Online-flexible,,
PHIX3041,Ethical Perspectives on Social Issues,2023.03,Approved,Faculty of Arts,Department of Philosophy ,Session 1-ONL-FLX,Session 1,Online-flexible,,
MMCC1110,Media Technologies,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
EDST8240,Professional Practice 3 and Educational Research,2023.03,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
MMBA8055,Business Strategy,2023.04,Approved,Macquarie Business School,Department of Management ,Term 3-ONL-S-DAY,Term 3,Online-scheduled-weekday,,40
LAWS5303,International Law Exchange 3,2023.01R,Approved,Faculty of Arts,Macquarie Law School ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ACCG8150,Contemporary Accounting Practice,2023.04,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ESPS1003,Research and Data Analysis for Exercise Science,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ASTR3010,Astrophysics of Radiation and Stars,2023.01,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PHYS8909,Quantum Control,2023.03,Approved,Faculty of Science and Engineering,School of Mathematical and Physical Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PSYU3351,Research Methods in Psychology,2023.03,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
PSYN8902,Clinical Neuropsychology Practical Placement II,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
COMP2010,Algorithms and Data Structures,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
BIOL2310,Diversity of Life,2023.03,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-INF-North Ryde,Session 2,In person-scheduled-infrequent,North Ryde,
PSYU3333,Social Interaction in the Modern World,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ENGX1050,Grammar and Writing,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 3-ONL-FLX,Session 3,Online-flexible,,
NSCI7930,Research Topics in Natural Sciences 1,2023.03,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
PSYN8860,Professional Practice 4,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MEDI8302,Core Clinical Placements B,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Medicine and Health Sciences MDD-F2F-PLACE-North Ryde,Medicine and Health Sciences MDD,In person-placement,North Ryde,
INTS3020,"Language, Literature, Translation: Intercultural Perspectives",2023.03,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-ONL-FLX,Session 2,Online-flexible,,
LING2220,Syntax,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ACST1052,Introduction to Actuarial Studies,2023.03,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MEDI3100,Clinical Anatomy and Medical Imaging,2023.04,Approved,"Faculty of Medicine, Health and Human Sciences",Macquarie Medical School,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
BUSA7030,"Management of Data, Analytics and Change",2023.03,Approved,Macquarie Business School,Department of Actuarial Studies and Business Analytics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ENGG8000,Professional Practice,2023.02,Approved,Faculty of Science and Engineering,School of Engineering,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYX1102,Introduction to Psychology II,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,500
GRMN3020,I German Studies 6,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-ONL-FLX,Session 2,Online-flexible,,
COMP7000,Advanced Algorithms,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
APPL8030,Languages and Cultures in Contact,2023.02,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 2-ONL-FLX,Session 2,Online-flexible,,
APPL7110,Advanced Topics in Pragmatics and Intercultural Communication,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
INTS3090,International Studies Advanced In-Country Study 4,2023.01R,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 1-F2F-PLACE-On location,Session 1,In person-placement,On location,
AFIN2053,Financial Management,2023.03,Approved,Macquarie Business School,Department of Applied Finance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ACCG6003,Managing Finance,2023.05,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
GMBA8032,Manage Change,2023.02,Approved,Macquarie Business School,Department of Management ,Coursera term 2-ONL-S-DAY,Coursera term 2,Online-scheduled-weekday,,
BIOL2220,Systems Physiology,2023.02,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 2-F2F-INF-North Ryde,Session 2,In person-scheduled-infrequent,North Ryde,
EDST8235,Teaching Society and Culture in the Secondary School 2,2023.02,Approved,Faculty of Arts,Macquarie School of Education,Session 1-F2F-INF-North Ryde,Session 1,In person-scheduled-infrequent,North Ryde,
POIR3050,Religion and Politics,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 1-ONL-FLX,Session 1,Online-flexible,,
PSYN8851,Supervised Practical Placement III,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Full year 1-F2F-PLACE-On location,Full year 1,In person-placement,On location,
FOSE1005,Mathematical Concepts for Science,2023.02,Approved,Faculty of Science and Engineering,Owned at Faculty level,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
COMP3265,Cisco Networking II,2023.03,Approved,Faculty of Science and Engineering,School of Computing,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
MGMT1005,Introduction to Global Business,2023.04,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
