,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,CIVL1001,CIVL2101,CIVL2201,CIVL2205,CIVL2301,CIVL3101,CIVL3201,CIVL3301,CIVL3305,CIVL3401,CIVL4090,CIVL4091,CIVL4201,CIVL4301,CIVL4401,COMP1000,ENGG1000,ENGG1050,ENGG2000,ENGG2050,ENGG3000,ENGG3050,ENGG4001,MATH1010,MATH1020,MATH2055,MECH2002,PHYS1510,CIVL1001#,CIVL3101!,CIVL3201!,CIVL3301!,CIVL3305!,CIVL3401!,CIVL4090#,CIVL4090#1,CIVL4090#11,CIVL4090#11,CIVL4091!,CIVL4301#,CIVL4301#1,CIVL4401!,ENGG2050#,MATH1020#,MATH2055#,MECH2002#,MECH2002#1,MECH2002#11
12,CIVL4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
13,CIVL4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0.5,0,0,0.047619047,0,0,0,0,0,0
14,CIVL4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0.5,0,0,0.047619047,0,0,0,0,0,0
15,CIVL4401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
16,COMP1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
17,ENGG1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
18,ENGG1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,1,0,0
19,ENGG2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
20,ENGG2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
21,ENGG3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
22,ENGG3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
23,ENGG4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0.5,0,0,0.047619047,0,0,0,0,0,0
24,MATH1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,1,1,0,0,0,0
25,MATH1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,1,0,0,1
26,MATH2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
27,MECH2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
28,PHYS1510,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923076,0.076923076,0.076923076,0.076923076,0.076923076,0,0,0,0,0,0,0,0.047619047,0,0,0,0,0,0
29,CIVL1001#,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,CIVL3101!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CIVL3201!,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CIVL3301!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CIVL3305!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,CIVL3401!,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CIVL4090#,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CIVL4090#1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CIVL4090#11,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CIVL4090#11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CIVL4091!,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,CIVL4301#,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CIVL4301#1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,CIVL4401!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ENGG2050#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,MATH1020#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,MATH2055#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,MECH2002#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,MECH2002#1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,MECH2002#11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
